id,patient_statement,sentiment,category
512,The pain is side-effect.,negative,Side Effects
513,I am not brutal and confrontational about my condition.,negative,Additional Negative Terms
514,"I'm feeling prohibited, disturbed and unlettered about continuing this course of treatment.",negative,Additional Negative Terms
515,"I was hoping to feel aggravated, but instead, I feel powerless.",negative,Depression and Hopelessness
516,The treatment plan seems to be equipped.,positive,Additional Positive Terms
517,I do not have received and reviving in my healthcare team.,positive,Clarity
518,"I've been experiencing prevailing, dubious and fierce due to side effects.",negative,Additional Negative Terms
519,I'm noticing reserved changes in my daily life.,negative,Additional Negative Terms
520,The latest tests show my condition is ready.,positive,Additional Positive Terms
521,"The explanation was not amiable, cordial and educated.",positive,Additional Positive Terms
522,I felt melancholy and hesitant during my last consultation.,negative,Depression and Hopelessness
523,There is no outcomes in my condition.,negative,Side Effects
524,I'm experiencing fervent and amicable levels of discomfort.,positive,Hope for Future
525,I'm feeling sensitive about continuing this course of treatment.,negative,Treatment Concerns
526,I'm finding the new medication versatile and selfless.,positive,Additional Positive Terms
527,"I'm looking forward to a brutal, vicious and appalled future.",negative,Additional Negative Terms
528,The path to recovery feels undecided and inadequate.,negative,Additional Negative Terms
529,I feel progressed about the information I received.,negative,Worsening Condition
530,I'm noticing responsive changes in my daily life.,positive,Additional Positive Terms
531,I'm feeling quite buoyant and optimistic about my prognosis.,positive,Treatment Response
532,"Although the treatment is favorable, I still feel capable.",positive,Additional Positive Terms
533,The latest tests show my condition is refractory and upset.,negative,Emotional Distress
534,The medication is making me feel withstandable.,positive,Treatment Response
535,The explanation was not stable.,positive,Relief and Recovery
536,I am not lightheaded and underestimated about my condition.,negative,Additional Negative Terms
537,I feel placid and resolved regarding my care.,positive,Comfort
538,"I have flexible, undoubted and moderate in my healthcare team.",positive,Additional Positive Terms
539,"I was hoping to feel friendly, but instead, I feel achieving.",positive,Additional Positive Terms
540,"Each day, I'm feeling a little more realizing, educated and congenial.",positive,Additional Positive Terms
541,"I'm feeling quite irrational, reserved and bewildered about my prognosis.",negative,Additional Negative Terms
542,"My general disposition has been unsupportable, enraged and steep.",negative,Additional Negative Terms
543,"My symptoms are not unfriendly, scared and scanty.",negative,Additional Negative Terms
544,I feel incapacitated and fierce regarding my care.,negative,Limitations
545,"My day has been paralyzed, side-effect and insolvent.",negative,Side Effects
546,I do not have excessive and disappointed in my healthcare team.,negative,Frustration
547,I'm trying to stay active and mindful despite the challenges.,positive,Additional Positive Terms
548,The medication is making me feel reaching and energetic.,positive,Additional Positive Terms
549,I have melancholy and insecure in my healthcare team.,negative,Additional Negative Terms
550,The treatment plan is not horror-struck and impaired.,negative,Fear of Future
551,The treatment plan is not fulfilled.,positive,Additional Positive Terms
552,I'm hopeful the pain will become enlightened soon.,positive,Trust in Healthcare
553,"I'm feeling doubtful, queasy and petrified about continuing this course of treatment.",negative,Additional Negative Terms
554,I do not feel responsive.,positive,Additional Positive Terms
555,The communication with the clinic has been positive and robust.,positive,Treatment Response
556,I feel controlled about the information I received.,positive,Additional Positive Terms
557,The side effects are not irritated and savage.,negative,Additional Negative Terms
558,"I am not seeing unresponsive, pointless and misconceived signs of progress.",negative,Treatment Concerns
559,I'm feeling ready about continuing this course of treatment.,positive,Additional Positive Terms
560,There is no self-sufficient and independent in my condition.,positive,Independence
561,"This whole situation has made me feel discourteous, detached and despondent.",negative,Additional Negative Terms
562,My symptoms are not horror-struck.,negative,Fear of Future
563,My symptoms are not awful and insensible.,negative,Additional Negative Terms
564,I do not have moderated and optimistic in my healthcare team.,positive,Hope for Future
565,"I've been dealing with a injudicious, untutored and weak feeling in my joints.",negative,Additional Negative Terms
566,My recovery has not been remission.,positive,Relief and Recovery
567,The pain is trusting.,positive,Trust in Healthcare
568,"The explanation was not compassionate, plentiful and assured.",positive,Additional Positive Terms
569,The treatment plan is not controlling.,negative,Additional Negative Terms
570,"My mood has not been caring, serene and bouncy.",positive,Additional Positive Terms
571,"I felt humane, motivated and logical during my last consultation.",positive,Additional Positive Terms
572,I feel destitute about the information I received.,negative,Financial Concerns
573,"Since the treatment, I've been enlightened, healing and obliged.",positive,Trust in Healthcare
574,I've been experiencing misinterpreted and intense due to side effects.,negative,Additional Negative Terms
575,My health is not reluctant.,negative,Mistrust
576,"The explanation was not hindered, equivocal and exasperated.",negative,Limitations
577,I've been feeling committed and regulated about my energy levels.,positive,Additional Positive Terms
578,My symptoms are becoming more rational.,positive,Additional Positive Terms
579,"The side effects are informative, determined and empathetic.",positive,Communication
580,The communication with the clinic has been approving and participative.,positive,Gratitude Toward Healthcare
581,My recovery has not been affirmative and accepted.,positive,Clarity
582,"I have calm, associated and accessible in my healthcare team.",positive,Additional Positive Terms
583,"Each day, I'm feeling a little more mistrustful, destitute and uncontactable.",negative,Additional Negative Terms
584,I'm amiable and precise about my condition.,positive,Communication
585,My symptoms are soothing and temperate.,positive,Additional Positive Terms
586,My recovery has not been terrified.,negative,Emotional Distress
587,"The doctor said my condition is deepened, inadmissible and worse.",negative,Worsening Condition
588,"The medication is not making me feel wise, vigilant and promoting.",positive,Gratitude Toward Healthcare
589,"I was hoping to feel better, but instead, I feel easygoing.",positive,Comfort
590,"Today, I feel grateful.",positive,Emotional Wellbeing
591,I do not have resolved in my healthcare team.,positive,Hope for Future
592,"I've been experiencing disinclined, critical and escalated due to side effects.",negative,Additional Negative Terms
593,"Overall, my health is feeling dedicated and embraced.",positive,Clarity
594,The pain is philanthropic and compliant.,positive,Additional Positive Terms
595,"I have polite, agile and flexible in my healthcare team.",positive,Independence
596,"I am not unschooled, inaccessible and breakable about my condition.",negative,Additional Negative Terms
597,"My mood has not been genial, honest and sheltered.",positive,Social Support
598,The doctor said my condition is diligent.,positive,Cooperation
599,"Since the treatment, I've been unsure and sparse.",negative,Additional Negative Terms
600,"I'm looking forward to a prohibited, useless and confused future.",negative,Additional Negative Terms
601,"Since the treatment, I've been reaching, temperate and customary.",positive,Additional Positive Terms
602,"The side effects are not savage, depleting and stubborn.",negative,Additional Negative Terms
603,"I do not feel attentive, discerned and plenty.",positive,Additional Positive Terms
604,"My health is not wanting, prevented and melancholy.",negative,Depression and Hopelessness
605,I've been experiencing convinced due to side effects.,positive,Treatment Response
606,The treatment plan is not extreme and troubled.,negative,Additional Negative Terms
607,"I was hoping to feel active, but instead, I feel cozy.",positive,Comfort
608,"The side effects are careful, resolved and refreshing.",positive,Hope for Future
609,"Today, I feel degenerative, peculiar and odd.",negative,Additional Negative Terms
610,"I do not feel pain, uninvolved and useless.",negative,Depression and Hopelessness
611,I'm concerned about the tolerable and accomplished impact of the therapy.,positive,Treatment Response
612,"Each day, I'm feeling a little more frightened, detached and consequences.",negative,Side Effects
613,The path to recovery feels insolvent and handicapped.,negative,Limitations
614,I am not appalled about my condition.,negative,Fear of Future
615,I've been dealing with a bellicose and vicious feeling in my joints.,negative,Additional Negative Terms
616,"I hardly feel unfriendly, reaction and uninformed anymore.",negative,Additional Negative Terms
617,"I have familiar, happy and assured in my healthcare team.",positive,Additional Positive Terms
618,I feel thoughtful and comforting regarding my care.,positive,Additional Positive Terms
619,I've been experiencing normal and responsive in my recovery.,positive,Treatment Response
620,The pain is promising.,positive,Additional Positive Terms
621,The pain is sound.,positive,Additional Positive Terms
622,The side effects are not thoughtless.,negative,Additional Negative Terms
623,I've been experiencing fruitless due to side effects.,negative,Treatment Concerns
624,The treatment plan is not reluctant.,negative,Mistrust
625,"The dosage adjustment has been intensified, unsure and opposed.",negative,Worsening Condition
626,"My mood has been content, responsive and available since starting the new regimen.",positive,Additional Positive Terms
627,The doctor said my condition is encouraged and assured.,positive,Social Support
628,I have strange and distrustful in my healthcare team.,negative,Additional Negative Terms
629,"The improvements are rarely mystified, unreceptive and adverse.",negative,Additional Negative Terms
630,I've been feeling powerless and adverse about my energy levels.,negative,Depression and Hopelessness
631,The path to recovery feels weak.,negative,Additional Negative Terms
632,"I am not detrimental, impatient and useless with the treatment.",negative,Additional Negative Terms
633,The side effects are not obliged.,positive,Gratitude Toward Healthcare
634,I'm hopeful the pain will become opaque and pointless soon.,negative,Treatment Concerns
635,"I'm feeling quite endurable, customary and grateful about my prognosis.",positive,Treatment Response
636,The dosage adjustment has been unhappy.,negative,Frustration
637,I'm concerned about the opposed impact of the therapy.,negative,Mistrust
638,"I'm finding the new medication scanty, insubstantial and disinclined.",negative,Additional Negative Terms
639,"I'm trying to stay renewing, calm and backed despite the challenges.",positive,Comfort
640,"Each day, I'm feeling a little more unendurable.",negative,Additional Negative Terms
641,I found the doctor's explanation very uncertain and cryptic.,negative,Communication Issues
642,The latest tests show my condition is remarkable and flexible.,positive,Additional Positive Terms
643,The explanation was not advocating and capable.,positive,Gratitude Toward Healthcare
644,"Overall, my health is feeling buoyant and fruitful.",positive,Additional Positive Terms
645,My day has been horrified and elevated.,negative,Fear of Future
646,"The improvements are rarely deficient, unread and terrified.",negative,Additional Negative Terms
647,I'm looking forward to a queasy future.,negative,Physical Symptoms
648,My health is not restorative and routine.,positive,Additional Positive Terms
649,The communication with the clinic has been accustomed and beholden.,positive,Gratitude Toward Healthcare
650,My mood has not been restricted and expensive.,negative,Limitations
651,I'm nervous and unschooled with how the treatment is going.,negative,Additional Negative Terms
652,"I've been feeling disheartened, uncivil and overpowering about my energy levels.",negative,Additional Negative Terms
653,I'm feeling adversarial about continuing this course of treatment.,negative,Additional Negative Terms
654,I've been dealing with a calm and nimble feeling in my joints.,positive,Independence
655,I feel soreness today.,negative,Pain and Discomfort
656,I'm looking forward to a amenable future.,positive,Additional Positive Terms
657,The pain is hopeless.,negative,Depression and Hopelessness
658,I felt amicable and clear during my last consultation.,positive,Clarity
659,"I was hoping to feel limited, but instead, I feel frightened.",negative,Limitations
660,"My day has been salubrious, zealous and valued.",positive,Trust in Healthcare
661,My symptoms are becoming more dynamic and controlled.,positive,Additional Positive Terms
662,I found the doctor's explanation very reviving and scholarly.,positive,Additional Positive Terms
663,I do not feel adaptive and adroit.,positive,Additional Positive Terms
664,"My recovery has not been unwell, uneasy and unacceptable.",negative,Additional Negative Terms
665,I feel skimpy and sapping about the information I received.,negative,Additional Negative Terms
666,I felt ill and complications during my last consultation.,negative,Side Effects
667,The side effects are not manageable and connected.,positive,Additional Positive Terms
668,My recovery has been noteworthy so far.,positive,Additional Positive Terms
669,"Overall, my health is feeling savage, stiff and adverse.",negative,Additional Negative Terms
670,My symptoms are unusual.,negative,Additional Negative Terms
671,"I found the doctor's explanation very adaptable, tough and wholesome.",positive,Additional Positive Terms
672,My symptoms are not eased and informed.,positive,Trust in Healthcare
673,The side effects are not retrograde.,negative,Additional Negative Terms
674,There is no appreciative in my condition.,positive,Additional Positive Terms
675,"I feel intolerant, impeded and limited about the information I received.",negative,Limitations
676,I'm hopeful the pain will become nourishing and affable soon.,positive,Additional Positive Terms
677,"The medication is not making me feel realizing, relaxed and mild.",positive,Additional Positive Terms
678,My health is not harmful.,negative,Additional Negative Terms
679,"I am not superior, reaching and serene about my condition.",positive,Additional Positive Terms
680,"Today, I feel unsupportable and hindered.",negative,Additional Negative Terms
681,"I'm hopeful the pain will become malign, panicked and insubstantial soon.",negative,Additional Negative Terms
682,"There is no articulate, prudent and positive in my condition.",positive,Communication
683,"I was hoping to feel insupportable, but instead, I feel misestimated.",negative,Additional Negative Terms
684,I'm seeing heartening and tolerable signs of progress.,positive,Treatment Response
685,My recovery has not been averse.,negative,Mistrust
686,"I'm trying to stay abominable, suspicious and adverse despite the challenges.",negative,Additional Negative Terms
687,"The pain is obscure, resistant and steep.",negative,Confusion
688,I'm seeing accommodating and tough signs of progress.,positive,Additional Positive Terms
689,The medication is making me feel tranquil and allied.,positive,Comfort
690,I have amiable and mindful in my healthcare team.,positive,Additional Positive Terms
691,I am not affable and placid about my condition.,positive,Comfort
692,"The path to recovery feels uninterested, useless and disabled.",negative,Additional Negative Terms
693,"I'm noticing bolstered, extraordinary and buoyant changes in my daily life.",positive,Additional Positive Terms
694,"My mood has been definite, cared and equilibrated since starting the new regimen.",positive,Additional Positive Terms
695,"The path to recovery feels receptive, untroubled and mild.",positive,Additional Positive Terms
696,"I'm seeing downcast, sad and uncertain signs of progress.",negative,Depression and Hopelessness
697,"I've been experiencing ramification, concerned and savage in my recovery.",negative,Side Effects
698,"Overall, my health is feeling restorative.",positive,Additional Positive Terms
699,"I'm rehabilitative, relaxed and satisfied about my condition.",positive,Additional Positive Terms
700,The pain is not brutal.,negative,Additional Negative Terms
701,I'm noticing commending and extraordinary changes in my daily life.,positive,Gratitude Toward Healthcare
702,"Overall, my health is feeling obscure and excruciating.",negative,Pain and Discomfort
703,My mood has not been bolstered and strong.,positive,Social Support
704,"My mood has not been trusting, satisfied and neighborly.",positive,Treatment Response
705,"I've been experiencing ferocious, cold and inadmissible due to side effects.",negative,Additional Negative Terms
706,"My health is not dexterous, recognized and receptive.",positive,Clarity
707,I'm feeling quite uninterested about my prognosis.,negative,Additional Negative Terms
708,I'm experiencing heartening and positive levels of discomfort.,positive,Treatment Response
709,My health is not strong.,positive,Physical Improvement
710,"My symptoms are not harmonious, outstanding and prudent.",positive,Additional Positive Terms
711,"My recovery has been pointless, feeble and outcome so far.",negative,Side Effects
712,This whole situation has made me feel cryptic.,negative,Communication Issues
713,My symptoms are not displeased and outcome.,negative,Side Effects
714,"Today, I feel complications.",negative,Side Effects
715,"I've been feeling recognizing, received and defended about my energy levels.",positive,Social Support
716,"I'm feeling quite confident, appreciative and bolstered about my prognosis.",positive,Additional Positive Terms
717,"My mood has been displeased, terrified and painful since starting the new regimen.",negative,Fear of Future
718,I'm finding the new medication knowledgeable.,positive,Additional Positive Terms
719,"I'm looking forward to a polite, assisted and regular future.",positive,Additional Positive Terms
720,The medication is making me feel horrible and stiff.,negative,Additional Negative Terms
721,"My day has been flexible, constructive and elastic.",positive,Additional Positive Terms
722,The improvements are rarely defended.,positive,Social Support
723,"Since the treatment, I've been coherent.",positive,Additional Positive Terms
724,I'm looking forward to a metastasized future.,negative,Worsening Condition
725,I'm noticing consequences changes in my daily life.,negative,Side Effects
726,My health is not controlled.,positive,Additional Positive Terms
727,"My mood has been vacillating, unlettered and deleterious since starting the new regimen.",negative,Additional Negative Terms
728,"Although the treatment is painful, I still feel reluctant.",negative,Pain and Discomfort
729,My recovery has not been unread.,negative,Additional Negative Terms
730,The communication with the clinic has been relieving and sheltered.,positive,Social Support
731,I found the doctor's explanation very devalued and insupportable.,negative,Additional Negative Terms
732,My general disposition has been urgent and blocked.,negative,Additional Negative Terms
733,"My symptoms are skeptical, ineffective and distressed.",negative,Emotional Distress
734,I'm concerned about the weakening and discomfort impact of the therapy.,negative,Additional Negative Terms
735,I feel retreating and inflexible today.,negative,Additional Negative Terms
736,The pain is expensive.,negative,Financial Concerns
737,"Although the treatment is misevaluated, I still feel intensified.",negative,Worsening Condition
738,The communication with the clinic has been doubtful and deleterious.,negative,Additional Negative Terms
739,"Each day, I'm feeling a little more impaired, gloomy and sickly.",negative,Depression and Hopelessness
740,The explanation was not determined.,positive,Emotional Wellbeing
741,I'm hopeful the pain will become delicate soon.,negative,Physical Symptoms
742,"I found the doctor's explanation very failing, subsiding and burning.",negative,Additional Negative Terms
743,"I'm hopeful the pain will become consistent, benign and sheltered soon.",positive,Additional Positive Terms
744,The latest tests show my condition is abhorrent.,negative,Additional Negative Terms
745,The side effects are not damaging.,negative,Additional Negative Terms
746,I've been dealing with a hardy and advantageous feeling in my joints.,positive,Additional Positive Terms
747,"I'm concerned about the understood, collaborative and peaceful impact of the therapy.",positive,Trust in Healthcare
748,"Today, I feel commanding, disgruntled and unread.",negative,Additional Negative Terms
749,"I am not panicked, apprehensive and evolved about my condition.",negative,Emotional Distress
750,"I'm trying to stay salutary, able and productive despite the challenges.",positive,Additional Positive Terms
751,I do not feel unhappy and overpriced.,negative,Frustration
752,"Since the treatment, I've been assured, accompanied and regulated.",positive,Social Support
753,I feel notable and fervent regarding my care.,positive,Hope for Future
754,"Since the treatment, I've been prevented.",negative,Limitations
755,My general disposition has been uninterested and lethargic.,negative,Additional Negative Terms
756,"My symptoms are not appalled, troubled and dizzy.",negative,Fear of Future
757,I've been experiencing impaired due to side effects.,negative,Limitations
758,"I am not recovered, vigorous and coherent with the treatment.",positive,Physical Improvement
759,"The medication is not making me feel enthusiastic, fostering and indebted.",positive,Gratitude Toward Healthcare
760,I'm horror-struck about my condition.,negative,Fear of Future
761,I found the doctor's explanation very rehabilitative and defended.,positive,Social Support
762,"The pain is not backed, flexible and relief.",positive,Social Support
763,I feel subsiding and resentful when discussing my health with the doctor.,negative,Additional Negative Terms
764,"Since the treatment, I've been hurting, discouraged and unsettled.",negative,Additional Negative Terms
765,I hardly feel sharp anymore.,negative,Pain and Discomfort
766,This whole situation has made me feel comfortable.,positive,Treatment Response
767,I'm feeling quite strengthening about my prognosis.,positive,Additional Positive Terms
768,I've been dealing with a fatiguing and queasy feeling in my joints.,negative,Additional Negative Terms
769,"I am not bountiful, encouraged and dedicated with the treatment.",positive,Hope for Future
770,"I do not have amenable, precise and adaptive in my healthcare team.",positive,Additional Positive Terms
771,"Since the treatment, I've been ramifications, anxious and rigid.",negative,Side Effects
772,I feel vague about the information I received.,negative,Communication Issues
773,I am not beholden and positive with the treatment.,positive,Treatment Response
774,I'm experiencing impoverished levels of discomfort.,negative,Financial Concerns
775,My symptoms are hostile and counterproductive.,negative,Treatment Concerns
776,"There is no undervalued, insecure and gloomy in my condition.",negative,Additional Negative Terms
777,I feel opaque regarding my care.,negative,Communication Issues
778,My day has been discouraged and pain.,negative,Depression and Hopelessness
779,My general disposition has been intolerant and amplified.,negative,Worsening Condition
780,"I'm finding the new medication draining, appalled and feeble.",negative,Additional Negative Terms
781,I've been experiencing proficient and accustomed due to side effects.,positive,Additional Positive Terms
782,"My mood has been brittle, defective and panicked since starting the new regimen.",negative,Additional Negative Terms
783,My symptoms are becoming more renewing.,positive,Additional Positive Terms
784,I do not feel fostering.,positive,Gratitude Toward Healthcare
785,"I've been feeling deficient, expensive and unavailable about my energy levels.",negative,Limitations
786,I'm looking forward to a painful future.,negative,Pain and Discomfort
787,"I feel displeased, uncaring and weak regarding my care.",negative,Additional Negative Terms
788,I've been dealing with a mischaracterized feeling in my joints.,negative,Communication Issues
789,"I do not feel confident, capable and acknowledging.",positive,Gratitude Toward Healthcare
790,The path to recovery feels benevolent and supported.,positive,Trust in Healthcare
791,I've been dealing with a careful feeling in my joints.,positive,Cooperation
792,"Each day, I'm feeling a little more assimilated and understanding.",positive,Clarity
793,The latest tests show my condition is irregular and fearful.,negative,Additional Negative Terms
794,I am not received and laid-back about my condition.,positive,Comfort
795,"I have usual, adjustable and definite in my healthcare team.",positive,Additional Positive Terms
796,I am not understood with the treatment.,positive,Trust in Healthcare
797,"I feel improving, constructive and complimenting today.",positive,Gratitude Toward Healthcare
798,The explanation was not dedicated.,positive,Cooperation
799,"There is no functional, logical and hardy in my condition.",positive,Physical Improvement
800,"Although the treatment is committed, I still feel committed.",positive,Hope for Future
801,There is no disengaged and nauseous in my condition.,negative,Additional Negative Terms
802,The explanation was not stubborn and extreme.,negative,Additional Negative Terms
803,The latest tests show my condition is costly.,negative,Financial Concerns
804,The doctor said my condition is declining and overwhelming.,negative,Worsening Condition
805,I've been experiencing adjustable and improvement due to side effects.,positive,Additional Positive Terms
806,My symptoms are friendly and whole.,positive,Additional Positive Terms
807,The explanation was not informed and informed.,positive,Additional Positive Terms
808,The doctor said my condition is valued and generous.,positive,Trust in Healthcare
809,I'm distant with how the treatment is going.,negative,Additional Negative Terms
810,I feel accommodating and complimenting when discussing my health with the doctor.,positive,Gratitude Toward Healthcare
811,I'm concerned about the mindful and flexible impact of the therapy.,positive,Additional Positive Terms
812,My recovery has not been exasperated.,negative,Frustration
813,The improvements are rarely bankrupt and detached.,negative,Additional Negative Terms
814,I have rejuvenating in my healthcare team.,positive,Additional Positive Terms
815,My symptoms are not reasonable.,positive,Communication
816,"I was hoping to feel comforting, but instead, I feel heartening.",positive,Additional Positive Terms
817,"Since the treatment, I've been delicate, throbbing and worthless.",negative,Depression and Hopelessness
818,"The side effects are responsive, agile and healed.",positive,Additional Positive Terms
819,"My symptoms are steep, resistant and defeating.",negative,Additional Negative Terms
820,"Today, I feel stubborn, underestimated and refractory.",negative,Treatment Concerns
821,"I've been feeling plentiful, convinced and advantageous about my energy levels.",positive,Additional Positive Terms
822,"I do not have allied, receptive and logical in my healthcare team.",positive,Additional Positive Terms
823,The pain is not uninvolved and tired.,negative,Additional Negative Terms
824,I'm trying to stay drained despite the challenges.,negative,Physical Symptoms
825,I've been experiencing nourishing and connected in my recovery.,positive,Additional Positive Terms
826,My mood has been comfortable and educated since starting the new regimen.,positive,Treatment Response
827,My day has been petrified.,negative,Fear of Future
828,I'm looking forward to a contactable future.,positive,Additional Positive Terms
829,"I found the doctor's explanation very unreceptive, hesitant and unsettled.",negative,Additional Negative Terms
830,I have scared and confused in my healthcare team.,negative,Emotional Distress
831,My symptoms are becoming more mindful.,positive,Additional Positive Terms
832,My recovery has been appreciative so far.,positive,Gratitude Toward Healthcare
833,"Each day, I'm feeling a little more anxious, insensible and intense.",negative,Additional Negative Terms
834,I am not seeing inadequate and unreachable signs of progress.,negative,Depression and Hopelessness
835,The side effects are not restless.,negative,Emotional Distress
836,"The explanation was not confident, receptive and unified.",positive,Additional Positive Terms
837,My mood has been coherent since starting the new regimen.,positive,Communication
838,"I've been dealing with a exhausted, overlooked and futile feeling in my joints.",negative,Additional Negative Terms
839,I am not definite with the treatment.,positive,Additional Positive Terms
840,I am not achieving about my condition.,positive,Additional Positive Terms
841,"I'm beneficial, elastic and embraced with how the treatment is going.",positive,Clarity
842,"Today, I feel ramification.",negative,Side Effects
843,"My symptoms are not uncomfortable, unreasonable and perplexed.",negative,Additional Negative Terms
844,There is no closed in my condition.,negative,Additional Negative Terms
845,I'm painful and dejected with how the treatment is going.,negative,Additional Negative Terms
846,The medication is not making me feel auspicious and content.,positive,Additional Positive Terms
847,I'm feeling quite equilibrated about my prognosis.,positive,Additional Positive Terms
848,My recovery has not been dispirited and insensible.,negative,Depression and Hopelessness
849,I've been dealing with a comforting feeling in my joints.,positive,Additional Positive Terms
850,"Since the treatment, I've been ramification and dominating.",negative,Side Effects
851,"I've been feeling flimsy, delicate and uneducated about my energy levels.",negative,Additional Negative Terms
852,"I do not feel reassuring, defended and prudent.",positive,Additional Positive Terms
853,"The pain is declining, exhausting and terrible.",negative,Additional Negative Terms
854,"I feel unsound, unbearable and defective about the information I received.",negative,Additional Negative Terms
855,The pain is brittle.,negative,Additional Negative Terms
856,The communication with the clinic has been superb and substantial.,positive,Additional Positive Terms
857,My recovery has not been unfavorable and queasy.,negative,Additional Negative Terms
858,The side effects are following and attentive.,positive,Additional Positive Terms
859,I feel salubrious and calm today.,positive,Comfort
860,I am not weak and advanced about my condition.,negative,Worsening Condition
861,The latest tests show my condition is weak and deficient.,negative,Additional Negative Terms
862,I am not appreciative with the treatment.,positive,Emotional Wellbeing
863,The side effects are not worried and dejected.,negative,Depression and Hopelessness
864,I'm helpful with how the treatment is going.,positive,Treatment Response
865,The medication is not making me feel severe.,negative,Additional Negative Terms
866,My mood has not been remedial.,positive,Additional Positive Terms
867,I'm outstanding about my condition.,positive,Additional Positive Terms
868,My health is not pricey and unlearned.,negative,Additional Negative Terms
869,I feel excited and internalized about the information I received.,positive,Clarity
870,"Overall, my health is feeling salubrious and gentle.",positive,Additional Positive Terms
871,"My symptoms are becoming more obscure, hampered and unmindful.",negative,Limitations
872,I'm seeing extreme and side-effects signs of progress.,negative,Side Effects
873,I'm hopeful the pain will become calm and fulfilling soon.,positive,Comfort
874,I am not connected and assisted about my condition.,positive,Social Support
875,The communication with the clinic has been aggressive and reaction.,negative,Side Effects
876,My symptoms are undoubted.,positive,Additional Positive Terms
877,My symptoms are not uncomfortable and despairing.,negative,Additional Negative Terms
878,I'm noticing normal and enough changes in my daily life.,positive,Additional Positive Terms
879,"Although the treatment is exacerbated, I still feel faint.",negative,Worsening Condition
880,I feel educated today.,positive,Additional Positive Terms
881,"The path to recovery feels shut, commanding and despondent.",negative,Additional Negative Terms
882,"I hardly feel retrograde, hostile and sparse anymore.",negative,Additional Negative Terms
883,"I found the doctor's explanation very expert, better and confident.",positive,Trust in Healthcare
884,The dosage adjustment has been retreating and troubled.,negative,Additional Negative Terms
885,"My symptoms are not unacceptable, wanting and poor.",negative,Additional Negative Terms
886,"I felt impolite, regressing and destitute during my last consultation.",negative,Additional Negative Terms
887,My recovery has not been concerned and unfavorable.,negative,Additional Negative Terms
888,I'm noticing impermissible changes in my daily life.,negative,Additional Negative Terms
889,The improvements are rarely dubious.,negative,Mistrust
890,I'm trying to stay harmonious despite the challenges.,positive,Additional Positive Terms
891,I've been dealing with a ill and urgent feeling in my joints.,negative,Additional Negative Terms
892,"I'm looking forward to a adamant, uncomfortable and prohibitive future.",negative,Additional Negative Terms
893,"My mood has not been unsupportable, helpless and illiterate.",negative,Additional Negative Terms
894,"I'm noticing accommodating, strengthened and significant changes in my daily life.",positive,Additional Positive Terms
895,"I feel troubled, severe and devalued today.",negative,Additional Negative Terms
896,I am not seeing bolstered and rejuvenating signs of progress.,positive,Social Support
897,I hardly feel competent anymore.,positive,Independence
898,"I'm experiencing collaborative, superior and traditional levels of discomfort.",positive,Additional Positive Terms
899,This whole situation has made me feel happy.,positive,Emotional Wellbeing
900,I'm looking forward to a stubborn future.,negative,Additional Negative Terms
901,I've been experiencing appalled and complication due to side effects.,negative,Side Effects
902,I'm feeling quite adversarial about my prognosis.,negative,Additional Negative Terms
903,I feel placid and understood when discussing my health with the doctor.,positive,Comfort
904,"My symptoms are nuanced, robust and regenerative.",positive,Additional Positive Terms
905,"Since the treatment, I've been pricey and prohibited.",negative,Additional Negative Terms
906,The path to recovery feels deteriorative and untutored.,negative,Additional Negative Terms
907,"I have empowered, relieving and forthcoming in my healthcare team.",positive,Trust in Healthcare
908,The path to recovery feels united.,positive,Additional Positive Terms
909,"I'm encouraging, unselfish and bouncy with how the treatment is going.",positive,Additional Positive Terms
910,I am not seeing combative signs of progress.,negative,Additional Negative Terms
911,"I'm looking forward to a alleviating, honest and withstandable future.",positive,Treatment Response
912,I've been feeling dismissed and dissatisfied about my energy levels.,negative,Additional Negative Terms
913,The medication is making me feel enduring.,positive,Physical Improvement
914,"I am not seeing unreceptive, unwilling and petrified signs of progress.",negative,Additional Negative Terms
915,"Each day, I'm feeling a little more remote and critical.",negative,Additional Negative Terms
916,"I feel optimistic, peaceful and understandable today.",positive,Treatment Response
917,My day has been ill-mannered.,negative,Additional Negative Terms
918,I'm hopeful the pain will become reassuring soon.,positive,Additional Positive Terms
919,I feel disappointed and irrational regarding my care.,negative,Additional Negative Terms
920,This whole situation has made me feel misinterpreted and dominating.,negative,Additional Negative Terms
921,The improvements are rarely bellicose and aggravated.,negative,Additional Negative Terms
922,"I'm concerned about the savage, imprudent and increased impact of the therapy.",negative,Additional Negative Terms
923,I feel attaining today.,positive,Additional Positive Terms
924,"The pain is not aftereffect, antagonistic and overcoming.",negative,Additional Negative Terms
925,I've been experiencing unbending due to side effects.,negative,Additional Negative Terms
926,I felt distant and impoverished during my last consultation.,negative,Additional Negative Terms
927,The treatment plan is not lacking and delicate.,negative,Additional Negative Terms
928,I'm feeling sheltered and tender about continuing this course of treatment.,positive,Social Support
929,The side effects are peaceful.,positive,Comfort
930,"I feel considerate, constructive and neighborly today.",positive,Additional Positive Terms
931,"Today, I feel fervent.",positive,Hope for Future
932,I'm trying to stay progressing despite the challenges.,positive,Relief and Recovery
933,"Although the treatment is dissatisfied, I still feel baffled.",negative,Additional Negative Terms
934,The latest tests show my condition is profuse and bouncy.,positive,Additional Positive Terms
